Area,"CO2 (Mt)",Sector,Date
Guangxi,6.607237,Power,2024-02
Guizhou,7.198442,Power,2024-02
Hainan,1.249889,Power,2024-02
Hebei,24.095100,Power,2024-02
Heilongjiang,5.614720,Power,2024-02
Henan,17.781417,Power,2024-02
Hubei,8.431246,Power,2024-02
Hunan,6.335184,Power,2024-02
"Inner Mongolia",40.702919,Power,2024-02
Jiangsu,26.228641,Power,2024-02
Jiangxi,6.022738,Power,2024-02
Jilin,4.429377,Power,2024-02
Liaoning,9.384024,Power,2024-02
Ningxia,8.929762,Power,2024-02
Qinghai,2.160782,Power,2024-02
Shaanxi,17.179115,Power,2024-02
Shandong,33.398372,Power,2024-02
Shanghai,3.734258,Power,2024-02
Shanxi,22.467280,Power,2024-02
Sichuan,5.676892,Power,2024-02
Tianjin,5.142993,Power,2024-02
Tibet,0.013832,Power,2024-02
Xinjiang,22.816676,Power,2024-02
Yunnan,4.055334,Power,2024-02
Zhejiang,11.738980,Power,2024-02
Anhui,0.300162,Residential,2024-02
Beijing,6.878858,Residential,2024-02
Chongqing,0.000000,Residential,2024-02
Fujian,0.000000,Residential,2024-02
Gansu,2.824295,Residential,2024-02
Guangdong,0.000000,Residential,2024-02
Guangxi,0.000000,Residential,2024-02
Guizhou,0.018738,Residential,2024-02
Hainan,0.000000,Residential,2024-02
Hebei,9.639112,Residential,2024-02
Heilongjiang,8.741115,Residential,2024-02
Henan,5.785563,Residential,2024-02
Hubei,0.194798,Residential,2024-02
Hunan,0.000000,Residential,2024-02
"Inner Mongolia",6.859513,Residential,2024-02
Jiangsu,0.012726,Residential,2024-02
Jiangxi,0.000000,Residential,2024-02
Jilin,6.993501,Residential,2024-02
Liaoning,14.003016,Residential,2024-02
Ningxia,1.524916,Residential,2024-02
Qinghai,0.863296,Residential,2024-02
Shaanxi,4.838867,Residential,2024-02
Shandong,17.429899,Residential,2024-02
Shanghai,0.000000,Residential,2024-02
Shanxi,7.806848,Residential,2024-02
Sichuan,0.000000,Residential,2024-02
Tianjin,5.736705,Residential,2024-02
Tibet,0.015472,Residential,2024-02
Xinjiang,4.794315,Residential,2024-02
Yunnan,0.018968,Residential,2024-02
Zhejiang,0.000000,Residential,2024-02
Anhui,31.495346,Total,2024-02
Beijing,11.933137,Total,2024-02
Chongqing,10.059532,Total,2024-02
Fujian,17.790041,Total,2024-02
Gansu,16.141901,Total,2024-02
Guangdong,31.355651,Total,2024-02
Guangxi,19.929772,Total,2024-02
Guizhou,16.286403,Total,2024-02
Hainan,4.059013,Total,2024-02
Hebei,73.459440,Total,2024-02
Heilongjiang,18.631486,Total,2024-02
Henan,35.505378,Total,2024-02
Hubei,28.355315,Total,2024-02
Hunan,15.290571,Total,2024-02
"Inner Mongolia",56.511544,Total,2024-02
Jiangsu,56.865231,Total,2024-02
Jiangxi,14.739306,Total,2024-02
Jilin,16.581384,Total,2024-02
Liaoning,39.750755,Total,2024-02
Ningxia,13.938781,Total,2024-02
Qinghai,6.107822,Total,2024-02
Shaanxi,28.184710,Total,2024-02
Shandong,77.564172,Total,2024-02
Shanghai,9.120314,Total,2024-02
Shanxi,42.503367,Total,2024-02
Sichuan,20.397119,Total,2024-02
Tianjin,17.667719,Total,2024-02
Tibet,2.128505,Total,2024-02
Xinjiang,33.367922,Total,2024-02
Yunnan,20.241515,Total,2024-02
Zhejiang,25.619932,Total,2024-02
Anhui,0.303974,Aviation,2024-03
Beijing,0.300663,Aviation,2024-03
Chongqing,0.315681,Aviation,2024-03
Fujian,0.327626,Aviation,2024-03
Gansu,0.128108,Aviation,2024-03
Guangdong,0.332257,Aviation,2024-03
Guangxi,0.066160,Aviation,2024-03
Guizhou,0.232139,Aviation,2024-03
Hainan,0.019051,Aviation,2024-03
Hebei,0.285235,Aviation,2024-03
Heilongjiang,0.109153,Aviation,2024-03
Henan,0.145683,Aviation,2024-03
Hubei,0.130521,Aviation,2024-03
Hunan,0.123723,Aviation,2024-03
"Inner Mongolia",0.149509,Aviation,2024-03
Jiangsu,0.820157,Aviation,2024-03
Jiangxi,0.195892,Aviation,2024-03
Jilin,0.101769,Aviation,2024-03
Liaoning,0.245424,Aviation,2024-03
Ningxia,0.054613,Aviation,2024-03
Qinghai,0.040276,Aviation,2024-03
Shaanxi,0.346085,Aviation,2024-03
Shandong,0.581750,Aviation,2024-03
Shanghai,0.317263,Aviation,2024-03
Shanxi,0.143743,Aviation,2024-03
Sichuan,0.628724,Aviation,2024-03
Tianjin,0.105032,Aviation,2024-03
Tibet,0.027892,Aviation,2024-03
Xinjiang,0.197101,Aviation,2024-03
Yunnan,0.310441,Aviation,2024-03
Zhejiang,0.548417,Aviation,2024-03
Anhui,2.450754,"Ground Transport",2024-03
Beijing,2.711904,"Ground Transport",2024-03
Chongqing,2.643501,"Ground Transport",2024-03
Fujian,2.507928,"Ground Transport",2024-03
Gansu,2.762940,"Ground Transport",2024-03
Guangdong,2.533918,"Ground Transport",2024-03
Guangxi,2.517444,"Ground Transport",2024-03
Guizhou,2.501829,"Ground Transport",2024-03
Hainan,2.583281,"Ground Transport",2024-03
Hebei,2.585528,"Ground Transport",2024-03
Heilongjiang,2.591708,"Ground Transport",2024-03
Henan,2.530301,"Ground Transport",2024-03
Hubei,2.642347,"Ground Transport",2024-03
Hunan,2.550641,"Ground Transport",2024-03
"Inner Mongolia",2.488546,"Ground Transport",2024-03
Jiangsu,2.461402,"Ground Transport",2024-03
Jiangxi,2.482512,"Ground Transport",2024-03
Jilin,2.615230,"Ground Transport",2024-03
Liaoning,2.609383,"Ground Transport",2024-03
Ningxia,2.616675,"Ground Transport",2024-03
Qinghai,2.632829,"Ground Transport",2024-03
Shaanxi,2.650352,"Ground Transport",2024-03
Shandong,2.540580,"Ground Transport",2024-03
Shanghai,2.664836,"Ground Transport",2024-03
Shanxi,2.557457,"Ground Transport",2024-03
Sichuan,2.625180,"Ground Transport",2024-03
Tianjin,2.594171,"Ground Transport",2024-03
Tibet,2.383479,"Ground Transport",2024-03
Xinjiang,2.383479,"Ground Transport",2024-03
Yunnan,2.556043,"Ground Transport",2024-03
Zhejiang,2.500769,"Ground Transport",2024-03
Anhui,12.483306,Industry,2024-03
Beijing,0.573146,Industry,2024-03
Chongqing,4.542714,Industry,2024-03
Fujian,10.965720,Industry,2024-03
Gansu,4.860936,Industry,2024-03
Guangdong,17.545972,Industry,2024-03
Guangxi,14.438092,Industry,2024-03
Guizhou,9.353426,Industry,2024-03
Hainan,0.709689,Industry,2024-03
Hebei,51.231430,Industry,2024-03
