Area,"CO2 (Kt)",Sector,Date
"New Delhi",81.287163,Aviation,2024-02
"New York",358.439738,Aviation,2024-02
Nice,1.896904,Aviation,2024-02
Osaka,54.261625,Aviation,2024-02
Oslo,2.973654,Aviation,2024-02
Paris,66.917180,Aviation,2024-02
Qingdao,63.338367,Aviation,2024-02
Rome,29.109422,Aviation,2024-02
"San Francisco",123.243115,Aviation,2024-02
Santiago,48.321232,Aviation,2024-02
Seattle,130.070078,Aviation,2024-02
Seoul,50.254871,Aviation,2024-02
Shanghai,200.559485,Aviation,2024-02
Stockholm,8.131565,Aviation,2024-02
Sydney,64.127024,Aviation,2024-02
Tokyo,159.155650,Aviation,2024-02
Total,4230.760106,Aviation,2024-02
Washington,207.694966,Aviation,2024-02
Amsterdam,166.104003,"Ground Transport",2024-02
Bangkok,531.406262,"Ground Transport",2024-02
Barcelona,97.152128,"Ground Transport",2024-02
Beijing,1174.506598,"Ground Transport",2024-02
Berlin,139.800914,"Ground Transport",2024-02
Bogota,202.112682,"Ground Transport",2024-02
"Cape Town",168.729167,"Ground Transport",2024-02
Chengdu,452.822820,"Ground Transport",2024-02
Chicago,874.548150,"Ground Transport",2024-02
Chongqing,1057.062176,"Ground Transport",2024-02
Copenhagen,57.993446,"Ground Transport",2024-02
Hangzhou,600.238394,"Ground Transport",2024-02
Helsinki,73.439840,"Ground Transport",2024-02
Houston,644.879025,"Ground Transport",2024-02
Istanbul,433.240827,"Ground Transport",2024-02
Jinan,241.841329,"Ground Transport",2024-02
London,564.364361,"Ground Transport",2024-02
"Los Angeles",1907.897579,"Ground Transport",2024-02
Lyon,24.326556,"Ground Transport",2024-02
Madrid,275.320443,"Ground Transport",2024-02
Marseille,23.095253,"Ground Transport",2024-02
Melbourne,424.710089,"Ground Transport",2024-02
"Mexico City",581.365387,"Ground Transport",2024-02
Miami,529.883540,"Ground Transport",2024-02
Milan,47.094894,"Ground Transport",2024-02
Moscow,175.716921,"Ground Transport",2024-02
Munich,51.156617,"Ground Transport",2024-02
Nanjing,546.870070,"Ground Transport",2024-02
"New Delhi",145.664660,"Ground Transport",2024-02
"New York",1185.517315,"Ground Transport",2024-02
Nice,13.857367,"Ground Transport",2024-02
Osaka,557.117506,"Ground Transport",2024-02
Oslo,11.339807,"Ground Transport",2024-02
Paris,287.733975,"Ground Transport",2024-02
Qingdao,367.156226,"Ground Transport",2024-02
Rome,146.684929,"Ground Transport",2024-02
"San Francisco",545.166267,"Ground Transport",2024-02
Santiago,257.655505,"Ground Transport",2024-02
Seattle,525.533638,"Ground Transport",2024-02
Seoul,871.934819,"Ground Transport",2024-02
Shanghai,1031.688009,"Ground Transport",2024-02
Stockholm,41.573454,"Ground Transport",2024-02
Sydney,305.958342,"Ground Transport",2024-02
Tokyo,907.414101,"Ground Transport",2024-02
Total,20002.710569,"Ground Transport",2024-02
Washington,733.035174,"Ground Transport",2024-02
Amsterdam,490.132431,Industry,2024-02
Bangkok,743.889344,Industry,2024-02
Barcelona,233.080847,Industry,2024-02
Beijing,5612.545903,Industry,2024-02
Berlin,221.755700,Industry,2024-02
Bogota,184.338933,Industry,2024-02
"Cape Town",676.670034,Industry,2024-02
Chengdu,3497.093784,Industry,2024-02
Chicago,3642.388264,Industry,2024-02
Chongqing,4004.457198,Industry,2024-02
Copenhagen,67.926794,Industry,2024-02
Hangzhou,2576.794865,Industry,2024-02
Helsinki,95.860059,Industry,2024-02
Houston,2018.795519,Industry,2024-02
Istanbul,746.953102,Industry,2024-02
Jinan,1465.889001,Industry,2024-02
London,636.588268,Industry,2024-02
"Los Angeles",4068.688441,Industry,2024-02
Lyon,47.010148,Industry,2024-02
Madrid,354.297986,Industry,2024-02
Marseille,48.415066,Industry,2024-02
Melbourne,699.678154,Industry,2024-02
"Mexico City",987.273335,Industry,2024-02
Miami,1039.367516,Industry,2024-02
Milan,62.821321,Industry,2024-02
Moscow,698.216354,Industry,2024-02
Munich,80.183236,Industry,2024-02
Nanjing,3698.078499,Industry,2024-02
"New Delhi",410.428904,Industry,2024-02
"New York",3032.801980,Industry,2024-02
Nice,28.861640,Industry,2024-02
Osaka,2053.225498,Industry,2024-02
Oslo,219.455054,Industry,2024-02
Paris,532.809799,Industry,2024-02
Qingdao,1036.042458,Industry,2024-02
Rome,162.127323,Industry,2024-02
"San Francisco",1460.035180,Industry,2024-02
Santiago,272.916895,Industry,2024-02
Seattle,669.089799,Industry,2024-02
Seoul,2359.195487,Industry,2024-02
Shanghai,23715.943864,Industry,2024-02
Stockholm,56.152053,Industry,2024-02
Sydney,713.654365,Industry,2024-02
Tokyo,4034.941027,Industry,2024-02
Total,80657.808820,Industry,2024-02
Washington,1200.937411,Industry,2024-02
Amsterdam,15.364499,Power,2024-02
Bangkok,7.174237,Power,2024-02
Barcelona,54.132924,Power,2024-02
Beijing,2423.511307,Power,2024-02
Berlin,253.044839,Power,2024-02
Bogota,0.836776,Power,2024-02
"Cape Town",0.078742,Power,2024-02
Chengdu,874.694087,Power,2024-02
Chicago,1409.252297,Power,2024-02
Chongqing,5235.561860,Power,2024-02
Copenhagen,20.157300,Power,2024-02
Hangzhou,627.612444,Power,2024-02
Helsinki,253.093759,Power,2024-02
Houston,1795.819674,Power,2024-02
Istanbul,50.914874,Power,2024-02
Jinan,3597.514948,Power,2024-02
London,89.862227,Power,2024-02
"Los Angeles",1043.233454,Power,2024-02
Lyon,8.263890,Power,2024-02
Madrid,4.153938,Power,2024-02
Marseille,0.000000,Power,2024-02
Melbourne,68.059239,Power,2024-02
"Mexico City",494.102515,Power,2024-02
Miami,358.909651,Power,2024-02
Milan,71.091414,Power,2024-02
Moscow,4608.691071,Power,2024-02
Munich,180.056782,Power,2024-02
Nanjing,2991.182082,Power,2024-02
"New Delhi",360.621434,Power,2024-02
"New York",1800.948879,Power,2024-02
Nice,0.000000,Power,2024-02
Osaka,2388.708235,Power,2024-02
Oslo,0.461247,Power,2024-02
Paris,53.698060,Power,2024-02
Qingdao,226.621928,Power,2024-02
Rome,10.819973,Power,2024-02
"San Francisco",592.239476,Power,2024-02
Santiago,89.088411,Power,2024-02
Seattle,43.371160,Power,2024-02
Seoul,2167.404466,Power,2024-02
Shanghai,3341.924806,Power,2024-02
Stockholm,7.705850,Power,2024-02
Sydney,50.723388,Power,2024-02
Tokyo,8184.908064,Power,2024-02
Total,45963.101428,Power,2024-02
Washington,107.485242,Power,2024-02
Amsterdam,296.769533,Residential,2024-02
Bangkok,30.769537,Residential,2024-02
Barcelona,252.686809,Residential,2024-02
Beijing,1578.753639,Residential,2024-02
Berlin,687.903182,Residential,2024-02
Bogota,87.945123,Residential,2024-02
"Cape Town",82.238858,Residential,2024-02
Chengdu,1021.549028,Residential,2024-02
Chicago,1868.122440,Residential,2024-02
Chongqing,2141.712668,Residential,2024-02
Copenhagen,68.527350,Residential,2024-02
Hangzhou,664.048967,Residential,2024-02
